Breaking Bad Season 1,Drama,MA15+,Bryan Cranston Aaron Paul,2008,A chemistry teacher becomes a druglord,images/BBS1.jpg
Breaking Bad Season 2,Drama,MA15+,Bryan Cranston Aaron Paul,2008,A chemistry teacher becomes a druglord,images/BBS2.jpg
Breaking Bad Season 3,Drama,MA15+,Bryan Cranston Aaron Paul,2008,A chemistry teacher becomes a druglord,images/BBS3.jpg
Breaking Bad Season 4,Drama,MA15+,Bryan Cranston Aaron Paul,2008,A chemistry teacher becomes a druglord,images/BBS4.jpg
Scarface,Action,R18+,Al Pacino,1983,In 1980s Miami a determined Cuban immigrant takes over a drug cartel while succumbing to greed,images/scarface.jpg
Batman Begins,Action,M15+,Christian Bale Michael Caine,2005,After training with his mentor Batman begins his war on crime to free the crime-ridden Gotham City from corruption that the Scarecrow and the League of Shadows have cast upon it,images/batman1.jpg
The Dark Knight,Action,M15+,Christian Bale Heath Ledger,2008,When Batman Gordon and Harvey Dent launch an assault on the mob they let the clown out of the box the Joker bent on turning Gotham on itself and bringing any heroes down to his level,images/batman2.jpg
The Dark Knight Rises,Action,M15+,Christian Bale Tom Hardy,2012,Eight years on a new evil rises from where the Batman and Commissioner Gordon tried to bury it causing the Batman to resurface and fight to protect Gotham City... the very city which brands him an enemy.,images/batman3.jpg
Game of Thrones Season 1,Fantasy,R18+,Peter Dinklage Sean Bean,2011,Seven noble families fight for control of the mythical land of Westeros.,images/got1.jpg
Game of Thrones Season 2,Fantasy,R18+,Peter Dinklage Lena Headey,2012,Seven noble families fight for control of the mythical land of Westeros.,images/got2.jpg
Game of Thrones Season 3,Fantasy,R18+,Peter Dinklage Lena Headey,2013,Seven noble families fight for control of the mythical land of Westeros.,images/got3.jpg
